käsite%käsitesuhde%lähikäsite
aktinosteeli%%Kasvitiede:steeli
akvaporiini%%Kasvitiede:osmoosi
androdieekkinen%%Kasvitiede:sekasopuinen
androgynomonoeekkinen%%Kasvitiede:sekasopuinen
anisosyyttinen ilmarako%%Kasvitiede:ilmarako
anomosyyttinen ilmarako%%Kasvitiede:ilmarako
siittiöpesäke %%Kasvitiede:gametangio
anterotsoidi%%Kasvitiede:gametangio
antiherbivoriefekti%%Kasvitiede:kemiallinen puolustus
bakanae-tauti%%Kasvitiede:gibberelliinit
bonitointi%%Kasvitiede:boniteetti
CAM-kasvit%%Kasvitiede:fotosynteesi
CAM-kasvit%%Kasvitiede:C4-kasvit
C4-kasvit%%Kasvitiede:C3-kasvit
C4-kasvit%%Kasvitiede:CAM-kasvit
desmetryyni%%Kasvitiede:triatsiini
diasyyttinen ilmarako%%Kasvitiede:ilmarako
