käsite%teksti
nolla-anafora%KarlssonF2004:  "243  Anaforisen  pronominin  äärimuoto,  lyhin mahdollinen  pronomini,  on  tekstuaalinen  ellipsi  eli nollapronomini.  Tällöin  tarkoitteeseen  viittaava  sana  on  jäänyt pois  samoilla  edellytyksillä  kuin  anaforisia  pronomineja  muutenkin  käytetään  eli  tarkoite  voidaan  tunnistaa."
nollapersoona%
