käsite%käsitesuhde%lähikäsite
ablatiivi%%paikallissija
adessiivi%%paikallissija
adverbiaali%%lauseadverbiaali
agentti%%kohde
agentti%%semanttinen rooli
akkusatiivi%%nominatiivi
akkusatiivi%%partitiivi
akkusatiivi%%genetiivi
allatiivi%%paikallissija
anaforinen%%koheesio
anaforinen%%substituutio
argumentti (syntaksi)%%predikaatti
aspekti%%kursiivinen aspekti
aspekti%%terminatiivinen aspekti
aspekti%%teon laatu
aspekti%%aktiosart
avotavu%%umpitavu
bahuvriihiyhdyssana%%determinatiivinen yhdyssana
deiksis%%deiktinen
deiktinen%%deiksis
demonstratiivipronomini%%pronomini
deonttinen modaliteetti%%modaalisuus
dynaaminen modaalisuus%%modaalisuus
ekvatiivilause%%predikatiivi
elatiivi%%paikallissija
elisio%%afereesi
elisio%%apokopee
ellipsi%%fragmentti
ellipsi%%substituutio
faktiivinen verbi%%ei-faktiivinen verbi
fokus (syntaksi)%%kiellon fokus
fonotaksi%%kombinaatio-oppi
frikatiivi%%spirantti
frikatiivi%%puolivokaali
frikatiivi%%sibilantti
futuuri%%aikaluokka
futuuri%%aikamuoto
geneerinen%%spesifinen
genetiivi%%nominatiivi
genetiivi%%partitiivi
genetiivi%%akkusatiivi
illatiivi%%paikallissija
imperatiivi%%modus
implikaatio%%konversationaalinen implikaatio
implikaatio%%presuppositio
indefiniittinen%%spesifinen indefiniittisyys
indefiniittinen%%kvantitatiivinen epämääräisyys
inessiivi%%paikallissija
infinitiivi%%partisiippi
infinitiivi%%gerundi
infinitiivi%%nominaalimuoto
inkoatiivinen%%translatiivinen
intransitiivilause%%transitiivilause
inversio%%suora sanajärjestys
johdin%%johto
johdin%%johdos
johdos%%johto
johdos%%johdin
johdos%%kanta
johtolause%%jälkilause
johtolause%%apodoosi
kanta%%juuri
kantasana%%johdos
katafora%%anafora
kokija%%semanttinen rooli
kommenttiadverbiaali%%irtonainen adverbiaali
kommenttiadverbiaali%%irtoilmaus
kommenttiadverbiaali%%lauseadverbiaali
korrelaatio%%korrelaatti
lausuma%%teksti
loppuheitto%%afereesi
loppuheitto%%synkopee
luku%%nomini
modaalisuus%%modaaliverbi
modaaliverbi%%modaalisuus
momentaaninen verbijohdos%%merkitysaspekti
mora%%kvantiteetti
mora%%tavu
morfeemi%%morfi
morfeemi%%allomorfi
morfeemi%%semanttinen morfeemi
morfeemi%%kieliopillinen morfeemi
morfeemi%%sidonnainen morfeemi
morfeemi%%vapaa morfeemi
muodollinen subjekti%%subjekti
määrite%%adjunkti
määrite%%attribuutti
määrite%%adverbiaali,objekti
nesessiivirakenne%%verbiketju
nominatiivi%%sija
NP%%substantiivilauseke
