käsite%käsitesuhde%lähikäsite
blisskieli%%Kielitiede:keinotekoiset kielet
bosnia%%Kielitiede:indoeurooppalaiset kielet
bosnia%%Kielitiede:slaavilaiset kielet
bradž%%Kielitiede:indoeurooppalaiset kielet
bradž%%Kielitiede:indoiranilaiset kielet
brasilianportugali%%Kielitiede:romaaniset kielet
bretoni%%Kielitiede:indoeurooppalaiset kielet
bretoni%%Kielitiede:kelttiläiset kielet
britannianenglanti%%Kielitiede:indoeurooppalaiset kielet
britannianenglanti%%Kielitiede:germaaniset kielet
bugi%%Kielitiede:austronesialaiset kielet
bugi%%Kielitiede:malaijilais-polynesialaiset kielet
bulgaria%%Kielitiede:indoeurooppalaiset kielet
bulgaria%%Kielitiede:slaavilaiset kielet
burjaatti%%Kielitiede:mongolikielet
burjaatti%%Kielitiede:itämongolikielet
burma%%Kielitiede:sinotiibetiläiset kielet 
burma%%Kielitiede:tiibetiläis-burmalaiset
cebuano%%Kielitiede:austronesialaiset kielet
cherokee%%Kielitiede:irokeesikielet
cheyenne%%Kielitiede:algonkin-kielet
chinook-jargon%%Kielitiede:pidgin
chipewyan%%Kielitiede:athabaskalaiset kielet
choctaw%%Kielitiede:muskogilaiset kielet
chuuk%%Kielitiede:austronesialaiset kielet
comanche%%Kielitiede:uto-atsteekkilaiset kielet
cree%%Kielitiede:algonkin-kielet
creek%%Kielitiede:muskogilaiset kielet
dagestanilaiset kielet%%Kielitiede:koilliskaukasialainen eligestanilainen
dakota%%Kielitiede:siouxilaiset kielet
dargi%%Kielitiede:koilliskaukasialaiset kielet
dargi%%Kielitiede:lag-dargva
delaware%%Kielitiede:algonkin-kielet
dinka%%Kielitiede:nilosaharalaiset kielet
dinka%%Kielitiede:itäsudanilaiset kielet
divehi%%Kielitiede:indoeurooppalaiset kielet
divehi%%Kielitiede:indoiranilaiset kielet
djula%%Kielitiede:nigeriläis-kongolaiset kielet
djula%%Kielitiede:mandelaiset kielet
dogri%%Kielitiede:indoeurooppalaiset kielet
dogri%%Kielitiede:indoiranilaiset kielet
dogrib%%Kielitiede:athabaskalaiset kielet
duala%%Kielitiede:nigeriläis-kongolaiset kielet
dyirbal%%Kielitiede:australialaiset kielet
dyirbal%%Kielitiede:papa-nyangalaiset kielet
dzongkha%%Kielitiede:sinotiibetiläiset kielet 
dzongkha%%Kielitiede:tiibetiläis-burmalaiset
edo%%Kielitiede:nigeriläis-kongolaiset kielet
edo%%Kielitiede:atlanttiset kielet
efik%%Kielitiede:nigeriläis-kongolaiset kielet
ekajuk%%Kielitiede:nigeriläis-kongolaiset kielet
enetsi%%Kielitiede:uralilaiset kielet
enetsi%%Kielitiede:samojedikielet
englanti%%Kielitiede:indoeurooppalaiset kielet
englanti%%Kielitiede:germaaniset kielet
ersä%%Kielitiede:uralilaiset kielet
ersä%%Kielitiede:volgalaiset kielet
eskimo%%Kielitiede:eskimo-aleuttilaiset
espanja%%Kielitiede:indoeurooppalaiset kielet
espanja%%Kielitiede:romaaniset kielet
espanjanespanja%%Kielitiede:indoeurooppalaiset kielet
espanjanespanja%%Kielitiede:romaaniset kielet
esperanto%%Kielitiede:keinotekoiset kielet
etelä-ndebele%%Kielitiede:nigeriläis-kongolaiset kielet
eteläsaame%%Kielitiede:uralilaiset kielet
eteläsaame%%Kielitiede:saamelaiset kielet
eteläslaavilaiset kielet%%Kielitiede:uralilaiset kielet
eteläslaavilaiset kielet%%Kielitiede:slaavilaiset kielet
eteläsotho%%Kielitiede:nigeriläis-kongolaiset kielet
ewe%%Kielitiede:nigeriläis-kongolaiset kielet
ewe%%Kielitiede:kwa-kielet
ewondo%%Kielitiede:nigeriläis-kongolaiset kielet
fang%%Kielitiede:nigeriläis-kongolaiset kielet
fidži%%Kielitiede:austronesialaiset kielet
fidži%%Kielitiede:malaijilais-polynesialaiset kielet
filipino%%Kielitiede:austronesialaiset kielet
filipino%%Kielitiede:malaijilais-polynesialaiset kielet
flaami%%Kielitiede:indoeurooppalaiset kielet
flaami%%Kielitiede:germaaniset kielet
foinikia%%Kielitiede:seemiläis-haamilaiset kielet
foinikia%%Kielitiede:seemiläiset kielet
fon%%Kielitiede:nigeriläis-kongolaiset kielet
friisi%%Kielitiede:indoeurooppalaiset kielet
friisi%%Kielitiede:germaaniset kielet
friuli%%Kielitiede:indoeurooppalaiset kielet
friuli%%Kielitiede:romaaniset kielet
fulani%%Kielitiede:nigeriläis-kongolaiset kielet
fulani%%Kielitiede:atlanttiset kielet
furkielet%%Kielitiede:nilosaharalaiset kielet
fääri%%Kielitiede:indoeurooppalaiset kielet
fääri%%Kielitiede:germaaniset kielet
ga%%Kielitiede:nigeriläis-kongolaiset kielet
gaeli%%Kielitiede:indoeurooppalaiset kielet
gaeli%%Kielitiede:kelttiläiset kielet
gajo%%Kielitiede:austronesialaiset kielet
galicia%%Kielitiede:indoeurooppalaiset kielet
galicia%%Kielitiede:romaaniset kielet
galla%%Kielitiede:seemiläis-haamilaiset kielet
galla%%Kielitiede:kuušilaiset kielet
ganda%%Kielitiede:error1 BE!nuelais-kongolaiset
gbaja%%Kielitiede:error1 AD!amawalais-ubangilaiset kielet
ge’ez%%Kielitiede:seemiläis-haamilaiset kielet
ge’ez%%Kielitiede:seemiläiset kielet
ge-kielet%%Kielitiede:miao-jao-kielet
georgia%%Kielitiede:eteläkaukasialaiset kielet
germaaniset kielet%%Kielitiede:indoeurooppalaiset
gondi%%Kielitiede:dravidakielet
gondi%%Kielitiede:etelä-keskidravidalaiset
gootti%%Kielitiede:indoeurooppalaiset kielet
gootti%%Kielitiede:germaaniset kielet
gorontalo%%Kielitiede:austronesialaiset kielet
gorontalo%%Kielitiede:malaijilais-polynesialaiset kielet
grebo%%Kielitiede:nigeriläis-kongolaiset kielet
grebo%%Kielitiede:kru-kielet
grönlanti%%Kielitiede:eskimo-aleuttilaiset kielet
grönlanti%%Kielitiede:eskimokielet
guarani%%Kielitiede:tupilaiset kielet
guarani%%Kielitiede:tupi-guaranilaiset kielet
gudžarati%%Kielitiede:indoeurooppalaiset kielet
gudžarati%%Kielitiede:indoarjalaiset kielet
gwitšin%%Kielitiede:athabaskalaiset kielet
haida%%Kielitiede:athabaskalaiset kielet
haiti%%Kielitiede:kreoli
halha%%Kielitiede:mongolikielet
halha%%Kielitiede:itämongolikielet
hanti%%Kielitiede:uralilaiset kielet
hanti%%Kielitiede:ugrilaiset kielet
hausa%%Kielitiede:afroaasialaiset kielet
hausa%%Kielitiede:tšadilaiset kielet
havaiji%%Kielitiede:austronesialaiset kielet
havaiji%%Kielitiede:malaijilais-polynesialaiset kielet
heetti%%Kielitiede:indoeurooppalaiset kielet
heetti%%Kielitiede:heettiläiset kielet
heprea%%Kielitiede:seemiläis-haamilaiset kielet
