käsite%käsitesuhde%lähikäsite
dogrib%%athabaskalaiset kielet
duala%%nigeriläis-kongolaiset kielet
dyirbal%%australialaiset kielet
dyirbal%%papa-nyangalaiset kielet
dzongkha%%sinotiibetiläiset kielet 
dzongkha%%tiibetiläis-burmalaiset
edo%%nigeriläis-kongolaiset kielet
edo%%atlanttiset kielet
efik%%nigeriläis-kongolaiset kielet
ekajuk%%nigeriläis-kongolaiset kielet
enetsi%%uralilaiset kielet
enetsi%%samojedikielet
englanti%%indoeurooppalaiset kielet
englanti%%germaaniset kielet
ersä%%uralilaiset kielet
ersä%%volgalaiset kielet
eskimo%%eskimo-aleuttilaiset
espanja%%indoeurooppalaiset kielet
espanja%%romaaniset kielet
espanjanespanja%%indoeurooppalaiset kielet
espanjanespanja%%romaaniset kielet
esperanto%%keinotekoiset kielet
etelä-ndebele%%nigeriläis-kongolaiset kielet
eteläsaame%%uralilaiset kielet
eteläsaame%%saamelaiset kielet
eteläslaavilaiset kielet%%uralilaiset kielet
eteläslaavilaiset kielet%%slaavilaiset kielet
eteläsotho%%nigeriläis-kongolaiset kielet
ewondo%%nigeriläis-kongolaiset kielet
fang%%nigeriläis-kongolaiset kielet
fidži%%austronesialaiset kielet
fidži%%malaijilais-polynesialaiset kielet
filipino%%austronesialaiset kielet
filipino%%malaijilais-polynesialaiset kielet
flaami%%indoeurooppalaiset kielet
flaami%%germaaniset kielet
foinikia%%seemiläis-haamilaiset kielet
foinikia%%seemiläiset kielet
fon%%nigeriläis-kongolaiset kielet
friisi%%indoeurooppalaiset kielet
friisi%%germaaniset kielet
friuli%%indoeurooppalaiset kielet
friuli%%romaaniset kielet
fulani%%nigeriläis-kongolaiset kielet
fulani%%atlanttiset kielet
furkielet%%nilosaharalaiset kielet
fääri%%indoeurooppalaiset kielet
fääri%%germaaniset kielet
ga%%nigeriläis-kongolaiset kielet
gaeli%%indoeurooppalaiset kielet
gaeli%%kelttiläiset kielet
gajo%%austronesialaiset kielet
galicia%%indoeurooppalaiset kielet
galicia%%romaaniset kielet
galla%%seemiläis-haamilaiset kielet
galla%%kuušilaiset kielet
ganda%%nigeriläis-kongolaiset kielet
ganda%%benuelais-kongolaiset
gbaja%%nigeriläis-kongolaiset kielet
gbaja%%adamawalais-ubangilaiset kielet
ge’ez%%seemiläis-haamilaiset kielet
ge’ez%%seemiläiset kielet
ge-kielet%%miao-jao-kielet
georgia%%eteläkaukasialaiset kielet
germaaniset kielet%%indoeurooppalaiset
gondi%%dravidakielet
gondi%%etelä-keskidravidalaiset
gootti%%indoeurooppalaiset kielet
gootti%%germaaniset kielet
gorontalo%%austronesialaiset kielet
gorontalo%%malaijilais-polynesialaiset kielet
grebo%%nigeriläis-kongolaiset kielet
grebo%%kru-kielet
grönlanti%%eskimo-aleuttilaiset kielet
grönlanti%%eskimokielet
guarani%%tupilaiset kielet
guarani%%tupi-guaranilaiset kielet
gudžarati%%indoeurooppalaiset kielet
gudžarati%%indoarjalaiset kielet
gwitšin%%athabaskalaiset kielet
haida%%athabaskalaiset kielet
haiti%%kreoli
halha%%mongolikielet
halha%%itämongolikielet
hanti%%uralilaiset kielet
hanti%%ugrilaiset kielet
hausa%%afroaasialaiset kielet
hausa%%tšadilaiset kielet
havaiji%%austronesialaiset kielet
havaiji%%malaijilais-polynesialaiset kielet
heetti%%indoeurooppalaiset kielet
heetti%%heettiläiset kielet
heprea%%seemiläis-haamilaiset kielet
heprea%%seemiläiset kielet
herero%%nigeriläis-kongolaiset kielet
hiligaino%%austronesialaiset kielet
hiligaino%%malaijilais-polynesialaiset kielet
hindi%%indoeurooppalaiset kielet
hindi%%indoiranilaiset kielet
hiri-motu%%pidgin
hixkariyana%%karibialaiset  kielet
hmong%%miao-jao-kielet
hollanti%%indoeurooppalaiset kielet
hollanti%%germaaniset kielet
hopi%%uto-atsteekkilaiset kielet
hupa%%athabaskalaiset kielet
iban%%austronesialaiset kielet
iban%%malaijilais-polynesialaiset kielet
ido%%keinotekoiset kielet
idžo%%nigeriläis-kongolaiset kielet
igbo%%nigeriläis-kongolaiset kielet
igbo%%benualais-kongolaiset
iiri%%indoeurooppalaiset kielet
iiri%%kelttiläiset kielet
ilocano%%austronesialaiset kielet
ilocano%%malaijilais-polynesialaiset kielet
inarinsaame%%uralilaiset kielet
inarinsaame%%saamelaiset kielet
indonesia%%austronesialaiset kielet
indonesia%%malaijilais-polynesialaiset kielet
inguuši%%pohjoiskaukasialaiset kielet
inkeroinen%%uralilaiset kielet
inkeroinen%%itämerensuomalaiset kielet
interlingua%%keinotekoiset kielet
interlingue%%keinotekoiset kielet
inuit%%eskimo-aleuttilaiset
inuit%%eskimokielet
inuktitut%%eskimo-aleuttilaiset kielet
inuktitut%%eskimokielet
inupiaq%%eskimo-aleuttilaiset kielet
inupiaq%%eskimokielet
