käsite%käsitesuhde%lähikäsite
autonomisuus%%dependenttiys
kompleksinen atemporaalinen relaatio%%kompleksinen temporaalinen relaatio
yksinkertainen atemporaalinen relaatio%%yksinkertainen temporaalinen relaatio
