käsite;käsitesuhde;lähikäsite
sivulehdykkä;yläkäsite;lehdykkä
sivulehdykkä;vieruskäsite;päätölehdykkä
sivulehdykkä;koostumussuhteinen yläkäsite;kerrannaislehti
sormiosainen;yläkäsite;lehti liuskaisuuden suhteen
sormiosainen;yläkäsite;sormiliuskainen
sormiosainen;yläkäsite;osainen
sormiosainen;vieruskäsite;sormihalkoinen
sormiosainen;vieruskäsite;sormijakoinen
sormiosainen;;pariosainen
sormiosainen;;kourasuoninen
ulkokale;yläkäsite;lehti
ulkokale;koostumussuhteinen yläkäsite;tähkylä
ulkokale;vieruskäsite;sisäkale
ulkokale;yläkäsite;kale
keihästyvinen;yläkäsite;lehden tyvi
keihästyvinen;vieruskäsite;nuolityvinen
keihästyvinen;;herttatyvinen
keihästyvinen;;kiilatyvinen
keihästyvinen;;keihäsmäinen
kelluslehti;yläkäsite;vesikasvin lehti
kelluslehti;vieruskäsite;ilmalehti
kelluslehti;vieruskäsite;uposlehti
kerrannainen;yläkäsite;elin; hedelmä; kukinto; lehti
kerrannainen;;kerrannaislehti
kerrannainen;;kerrannaissarja
kerrannainen;;kerrannaistähkä
kerrannainen;;kerrannaishuiskilo
kerrannainen;;kerrannaisterttu
kerrannaislehti;yläkäsite;lehti jakautumisen suhteen
kerrannaislehti;;ehyt
kerrannaislehti;koostumussuhteinen alakäsite;lehdykkä
keskiranka;yläkäsite;varsi
keskiranka;koostumussuhteinen yläkäsite;kukinto; lehti
keskiranka;;kukintoranka
keskiranka;;pääranka
keskiranka;;lapakko
keskisuoni;koostumussuhteinen yläkäsite;lehti
keskisuoni;vieruskäsite;sivusuoni
keulamainen;yläkäsite;lehden kärki
keulamainen;vieruskäsite;typäkkä
keulamainen;vieruskäsite;lanttopäinen
säteittäinen;yläkäsite;lehtiasento
säteittäinen;;kierteinen
säteittäinen;;lehtiasento
säteittäinen;yläkäsite;kiehkurainen
säteittäinen;vieruskäsite;vastakkainen
säteittäinen;vieruskäsite;vuorottainen
kielekekorvake;koostumussuhteinen yläkäsite;lehti
kielekekorvake;;kieleke
kielekekorvake;;korvake
kierteinen (lehtiasento);yläkäsite;lehtiasento
kierteinen (lehtiasento);yläkäsite;vuorottainen
kierteinen (lehtiasento);vieruskäsite;kiehkurainen
kierteinen (lehtiasento);;lehtiasento
kiilamainen;yläkäsite;lehtilavan muoto
kiilamainen;;kiilatyvinen
kiilamainen;vieruskäsite;kolmiomainen
kiilamainen;vieruskäsite;vastakolmiomainen
kiilatyvinen;yläkäsite;lehden tyvi
kiilatyvinen;vieruskäsite;suippotyvinen
kiilatyvinen;vieruskäsite;herttatyvinen
kiilatyvinen;vieruskäsite;keihästyvinen
kiilatyvinen;vieruskäsite;nuolityvinen
kiilatyvinen;;kiilamainen
kilpimäinen (lehti);yläkäsite;lehtilavan muoto
kilpimäinen (lehti);;kilpilehti
kolmeen kertaan kolmisorminen;yläkäsite;kerrannaislehti
kolmeen kertaan kolmisorminen;yläkäsite;kolmisorminen
kolmeen kertaan kolmisorminen;vieruskäsite;toistamiseen kolmisorminen
kolmeen kertaan parilehdykkäinen;yläkäsite;parilehdykkäinen
kolmeen kertaan parilehdykkäinen;yläkäsite;parilehdykkäinen
kolmeen kertaan parilehdykkäinen;vieruskäsite;toistamiseen parilehdykkäinen
kolmilehdykkäinen;yläkäsite;kerrannaislehti
kolmilehdykkäinen;;kolmisorminen
kolmilehdykkäinen;;lehdykkä
kolmilehdykkäinen;;kerrannaislehti
kolmilehdykkäinen;;kolmilehtinen
kolmiomainen;yläkäsite;lehtilavan muoto
kolmiomainen;vieruskäsite;kiilamainen
kolmiomainen;vieruskäsite;tasakylkisen kolmiomainen
kolmiomainen;vieruskäsite;pyöreän kolmikulmainen
korkosuoninen;yläkäsite;lehtisuonitus
korkosuoninen;koostumussuhteinen yläkäsite;pinta
korkosuoninen;;suonitus
korvake;koostumussuhteinen yläkäsite;lehti
korvake;;lehtikorvake
korvake;;kielekekorvake
korvake;;korvaketuppi
korvaketuppi;koostumussuhteinen yläkäsite;lehti
korvaketuppi;yläkäsite;tuppi
korvaketuppi;;korvake
kourasuoninen;yläkäsite;lehtisuonitus
kourasuoninen;;suonitus
kourasuoninen;;sormiliuskainen
kourasuoninen;vieruskäsite;silposuoninen
kourasuoninen;vieruskäsite;sulkasuoninen
kourasuoninen;vieruskäsite;verkkosuoninen
kourumainen;yläkäsite;lehtilavan muoto
kukkalehti;yläkäsite;lehti
kukkalehti;koostumussuhteinen yläkäsite;kukka
kukkalehti;koostumussuhteinen yläkäsite;kukka
kukkalehti;yläkäsite;lehti
kukkalehti;yläkäsite;kehälehti
kukkalehti;yläkäsite;verholehti
kukkalehti;yläkäsite;terälehti
kukkalehti;yläkäsite;emi
kukkalehti;yläkäsite;hede
kukkalehti;koostumussuhteinen vieruskäsite;kukkapohjus
kukkapohjus;yläkäsite;pohjus
kukkapohjus;koostumussuhteinen yläkäsite;kukka
kukkapohjus;;mykeröpohjus
kukkapohjus;;kukkalehti
kynsi;koostumussuhteinen yläkäsite;lehti
kynsi;;laide
kynsi;;kynnellinen
kynsi;koostumussuhteinen yläkäsite;terälehti
kynsi;koostumussuhteinen yläkäsite;verholehti
kynsi;koostumussuhteinen yläkäsite;suojuslehti
lanttopäinen;yläkäsite;lehden kärki
lanttopäinen;vieruskäsite;typäkkä
lanttopäinen;vieruskäsite;keulamainen
lehdykkä;koostumussuhteinen yläkäsite;kerrannaislehti
lehdykkä;koostumussuhteinen yläkäsite;kerrannaislehti
lehdykkä;;lehti
lehti;yläkäsite;kasvin peruselin
lehti;koostumussuhteinen yläkäsite;verso
lehti;yläkäsite;peruselin
lehti;koostumussuhteinen yläkäsite;kasvi
lehti;koostumussuhteinen vieruskäsite;varsi
lehti;koostumussuhteinen vieruskäsite;juuri
lehti;koostumussuhteinen vieruskäsite;verso
lehti;koostumussuhteinen vieruskäsite;kukka
lehtiasento;yläkäsite;lehti
lehtiasento;;kierteinen
lehtiasento;;kiehkurainen
lehtikanta;koostumussuhteinen yläkäsite;lehti
lehtikanta;koostumussuhteinen yläkäsite;lehti
lehtikanta;koostumussuhteinen vieruskäsite;lapa
lehtikanta;koostumussuhteinen vieruskäsite;ruoti
lehtilaita;koostumussuhteinen yläkäsite;lehti
lehtilaita;koostumussuhteinen yläkäsite;lapa
lehtilaita;;ehyt
lehtilaita;;hammaslaitainen
lapa;koostumussuhteinen yläkäsite;lehti
lapa;koostumussuhteinen yläkäsite;lehti
lapa;koostumussuhteinen vieruskäsite;ruoti
lapa;koostumussuhteinen vieruskäsite;lehtikanta
ruoti;yläkäsite;varsi
ruoti;koostumussuhteinen yläkäsite;lehti
ruoti;koostumussuhteinen yläkäsite;lehti
ruoti;koostumussuhteinen vieruskäsite;lapa
ruoti;koostumussuhteinen vieruskäsite;lehtikanta
tuppi;yläkäsite;lehden kanta
tuppi;koostumussuhteinen yläkäsite;lehti
tuppi;yläkäsite;lehtikanta
tuppi;;korvaketuppi
lehtivihreä;koostumussuhteinen yläkäsite;lehti
lehtivihreä;;lehti
lehtivihreä;;fotosynteesi
lehtivihreätön;;lehtivihreä
leveän pyöreähkö;yläkäsite;lehtilavan muoto
leveänpuikea;yläkäsite;lehtilavan muoto
leveänpuikea;yläkäsite;puikea
leveänpuikea;vieruskäsite;kapeanpuikea
leveänpuikea;vieruskäsite;kapean vastapuikea
leveänsoikea;yläkäsite;lehtilavan muoto
leveänsoikea;yläkäsite;soikea
leveänsoikea;vieruskäsite;kapeansoikea
liuska;koostumussuhteinen yläkäsite;kehä; lehti; teriö
liuska;;liuskainen
liuskainen;yläkäsite;lehti liuskaisuuden suhteen
liuskainen;yläkäsite;pariliuskainen
liuskainen;yläkäsite;sormiliuskainen
lusikkamainen;yläkäsite;lehtilavan muoto
lyhytsuippuinen;yläkäsite;lehden kärki
lyhytsuippuinen;vieruskäsite;pitkäsuippuinen
lyhytsuippuinen;vieruskäsite;suippo
mehikasvi;yläkäsite;kasvityyppi
mehikasvi;;lehtimehikasvi
miekkamainen;yläkäsite;lehtilavan muoto
munuaismainen;yläkäsite;lehtilavan muoto
munuaismainen;vieruskäsite;herttamainen
munuaismainen;vieruskäsite;soikea
munuaismainen;vieruskäsite;puikea
munuaismainen;vieruskäsite;suikea
munuaismainen;vieruskäsite;kolmiomainen
kukka;yläkäsite;kasvin peruselin; kukka
kukka;koostumussuhteinen yläkäsite;verso
kukka;koostumussuhteinen alakäsite;kukkapohjus
kukka;koostumussuhteinen alakäsite;kukkalehti
möyheä;yläkäsite;lehti
möyheä;;mehevä
neulanen;yläkäsite;lehti
neulasmainen;yläkäsite;lehtilavan muoto
neulasmainen;;neulanen
nirhalaitainen;yläkäsite;hammaslaitainen
nirhalaitainen;yläkäsite;hammaslaitainen
nirhalaitainen;vieruskäsite;sahalaitainen
nirhalaitainen;vieruskäsite;nyhälaitainen
nirhalaitainen;;ehytlaitainen
nivel;yläkäsite;lehti
nivel;koostumussuhteinen yläkäsite;varsi
nivel;;nivelväli
norkkosuomu;yläkäsite;lehti
norkkosuomu;koostumussuhteinen yläkäsite;norkko
norkkosuomu;yläkäsite;suomu
norkkosuomu;yläkäsite;tukilehti
norkkosuomu;koostumussuhteinen yläkäsite;norkko
nuolityvinen;yläkäsite;lehden tyvi
nuolityvinen;vieruskäsite;keihästyvinen
nyhälaitainen;yläkäsite;hammaslaitainen
nyhälaitainen;yläkäsite;hammaslaitainen
nyhälaitainen;vieruskäsite;sahalaitainen
nyhälaitainen;vieruskäsite;nirhalaitainen
nyhälaitainen;;ehytlaitainen
ora;koostumussuhteinen yläkäsite;verso
ora;yläkäsite;oraoksa
ora;yläkäsite;oralehti
oralehti;yläkäsite;lehti
oralehti;vieruskäsite;oraoksa
oraoksa;koostumussuhteinen yläkäsite;varsi
oraoksa;yläkäsite;ora
oraoksa;vieruskäsite;oralehti
parihalkoinen;yläkäsite;lehti liuskaisuuden suhteen
parihalkoinen;yläkäsite;halkoinen
parihalkoinen;yläkäsite;pariliuskainen
parihalkoinen;vieruskäsite;parijakoinen
parihalkoinen;vieruskäsite;pariosainen
parihalkoinen;;sormihalkoinen
parijakoinen;yläkäsite;lehti liuskaisuuden suhteen
parijakoinen;yläkäsite;pariliuskainen
parijakoinen;yläkäsite;jakoinen
parijakoinen;vieruskäsite;parihalkoinen
parijakoinen;vieruskäsite;pariosainen
parijakoinen;;sormijakoinen
parilehdykkäinen;yläkäsite;kerrannaislehti
parilehdykkäinen;yläkäsite;lehdykkäinen
parilehdykkäinen;yläkäsite;päätöparinen
parilehdykkäinen;yläkäsite;tasaparinen
parilehdykkäinen;yläkäsite;vuorolehdykkäinen
parilehdykkäinen;yläkäsite;välilehdykkäinen
pariliuskainen;yläkäsite;lehti liuskaisuuden suhteen
pariliuskainen;yläkäsite;liuskainen
pariliuskainen;yläkäsite;parihalkoinen
pariliuskainen;yläkäsite;parijakoinen
pariliuskainen;yläkäsite;pariosainen
pariliuskainen;;sormiliuskainen
pariosainen;yläkäsite;lehti liuskaisuuden suhteen
pariosainen;yläkäsite;osainen
pariosainen;yläkäsite;pariliuskainen
pariosainen;vieruskäsite;parihalkoinen
pariosainen;vieruskäsite;parijakoinen
pariosainen;;sormiosainen
pieninyhäinen;yläkäsite;lehtilaita
pieninyhäinen;vieruskäsite;hienonyhäinen
pieninyhäinen;yläkäsite;nyhälaitainen
pieninyhäinen;;lehtilaita
piikkikärkinen;yläkäsite;lehden kärki
piikkikärkinen;;otapäinen
pitkulainen;yläkäsite;lehtilavan muoto
pitkulainen;vieruskäsite;pitkänpyöreä
pitkulainen;vieruskäsite;pyöreä
pitkulainen;vieruskäsite;soikea
pitkulainen;vieruskäsite;suikea
pitkulainen;vieruskäsite;tasasoukka
pitkänpyöreä;yläkäsite;lehtilavan muoto
pitkänpyöreä;vieruskäsite;pitkulainen
pitkänpyöreä;vieruskäsite;pyöreä
pitkänpyöreä;vieruskäsite;soikea
pitkänpyöreä;vieruskäsite;suikea
pitkänpyöreä;vieruskäsite;tasasoukka
pitkäsuippuinen;yläkäsite;lehden kärki
pitkäsuippuinen;vieruskäsite;lyhytsuippuinen
pitkäsuippuinen;vieruskäsite;suippo
pitkäsuippuinen;;otapäinen
pitkäsuippuinen;;suippotyvinen
pitkäsuippuinen;;lisäkkeellinen
puikea;yläkäsite;lehtilavan muoto
puikea;vieruskäsite;suikea
puikea;vieruskäsite;soikea
puikea;vieruskäsite;pitkulainen
puikea;vieruskäsite;vastapuikea
pullakko;yläkäsite;lehti
pullakko;yläkäsite;suojuslehti
purje;yläkäsite;terälehti
purje;koostumussuhteinen yläkäsite;teriö
purje;vieruskäsite;siivet
purje;vieruskäsite;venho
purje;;perhomainen
pussimainen;yläkäsite;lehti
pussimainen;;pussilehti
pussimainen;vieruskäsite;huppumainen
pyyntirakkula;koostumussuhteinen yläkäsite;lehti
pyyntirakkula;yläkäsite;lehdykkä
pyöreä;yläkäsite;lehtilavan muoto
pyöreä;vieruskäsite;pitkulainen
pyöreä;vieruskäsite;pitkänpyöreä
pyöreä;vieruskäsite;soikea
pyöreä;vieruskäsite;suikea
pyöreä;vieruskäsite;tasasoukka
pyöreähkö;yläkäsite;lehtilavan muoto
pyöreähkö;;pyöreä
päätölehdykkä;koostumussuhteinen yläkäsite;lehti
päätölehdykkä;vieruskäsite;sivulehdykkä
päätölehdykkä;;kerrannaislehti
päätölehdykkä;yläkäsite;lehdykkä
päätöliuska;koostumussuhteinen yläkäsite;lehti
päätöliuska;;päätölehdykkä
päätöliuska;yläkäsite;liuska
päätöparinen;yläkäsite;parilehdykkäinen
päätöparinen;yläkäsite;parilehdykkäinen
päätöparinen;vieruskäsite;tasaparinen
päätöparinen;vieruskäsite;vuorolehdykkäinen
päätöparinen;vieruskäsite;välilehdykkäinen
ripsireunainen;yläkäsite;lehtilaita
ripsireunainen;;ripsinen
ripsisahainen;yläkäsite;lehtilaita
ripsisahainen;yläkäsite;sahalaitainen
ripsisahainen;yläkäsite;ripsireunainen
ripsisahainen;;ripsinen
ripsisahainen;;lehtilaita
ristikkäinen;yläkäsite;lehtiasento
ristikkäinen;yläkäsite;vastakkainen
ristikkäinen;;säteittäinen
ristikkäinen;;kierteinen
ristikkäinen;;lehtiasento
ruusuke;yläkäsite;lehti
ruusuke;koostumussuhteinen yläkäsite;verso
ruusuke;;kiehkura
ruusuke;koostumussuhteinen alakäsite;lehti
ruusukkeinen;yläkäsite;lehtiasento
ruusukkeinen;;lehtiasento
