termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
bladstilk/skaft;ruoti;=;norja;;;;;;
petiolus;ruoti;;suomi;substantiivi;yhdistämätön;;;;
petiole;ruoti;=;englanti;;;;;;
leaf-stalk;ruoti;=;englanti;;;;;;
bladskaft;ruoti;=;ruotsi;;;;;;
tuppi;tuppi;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
lehtituppi;tuppi;;suomi;substantiivi;yhdyssana;;;;
slíður;tuppi;=;islanti;;;;;;
slíðri;tuppi;=;fääri;;;;;;
skede;tuppi;=;tanska;;;;;;
slire;tuppi;=;norja;;;;;;
leaf sheath;tuppi;=;englanti;;;;;;
sheath;tuppi;=;englanti;;;;;;
slida;tuppi;=;ruotsi;;;;;;
bladslida;tuppi;=;ruotsi;;;;;;
lehtivihreä;lehtivihreä;;suomi;substantiivi;yhdyssana;;;;
klorofylli;lehtivihreä;;suomi;substantiivi;yhdyssana;;;;
chlorophyll;lehtivihreä;=;englanti;;;;;;
klorofyll;lehtivihreä;=;ruotsi;;;;;;
lehtivihreätön;lehtivihreätön;;suomi;adjektiivi;yhdyssana;;-tOn;;
non-chlorophyllous;lehtivihreätön;=;englanti;;;;;;
klorofyllös;lehtivihreätön;=;ruotsi;;;;;;
leveän pyöreähkö;leveän pyöreähkö;;suomi;adjektiivi;sanaliitto;;-hkO;;
poikkisoikea;leveän pyöreähkö;;suomi;adjektiivi;yhdyssana;;-eA;;
breiýkringlóttur/ nærri kringlóttur;leveän pyöreähkö;=;islanti;;;;;;
rundligur;leveän pyöreähkö;=;fääri;;;;;;
bredt rundagtigt;leveän pyöreähkö;=;tanska;;;;;;
tverroval;leveän pyöreähkö;=;norja;;;;;;
oblate;leveän pyöreähkö;=;englanti;;;;;;
tväroval;leveän pyöreähkö;=;ruotsi;;;;;;
leveänpuikea;leveänpuikea;;suomi;adjektiivi;yhdyssana;;-eA;;
broadly ovate;leveänpuikea;=;englanti;;;;;;
brett äggrund;leveänpuikea;=;ruotsi;;;;;;
leveänsoikea;leveänsoikea;;suomi;adjektiivi;yhdyssana;;-eA;;
broadly elliptic;leveänsoikea;=;englanti;;;;;;
brett elliptisk;leveänsoikea;=;ruotsi;;;;;;
liuska;liuska;;suomi;substantiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
flipi;liuska;=;islanti;;;;;;
flipi bleðill;liuska;=;islanti;;;;;;
flippur;liuska;=;fääri;;;;;;
flig;liuska;=;tanska;;;;;;
lap;liuska;=;tanska;;;;;;
flik;liuska;=;norja;;;;;;
lobe;liuska;=;englanti;;;;;;
flik;liuska;=;ruotsi;;;;;;
lob;liuska;=;ruotsi;;;;;;
liuskainen;liuskainen;;suomi;adjektiivi;yhdistämätön;;-inen;;
flipóttur;liuskainen;=;islanti;;;;;;
skiptur;liuskainen;=;islanti;;;;;;
flipputur;liuskainen;=;fääri;;;;;;
liðskiftur;liuskainen;=;fääri;;;;;;
fliget;liuskainen;=;tanska;;;;;;
lappet;liuskainen;=;tanska;;;;;;
delt;liuskainen;=;tanska;;;;;;
fliket;liuskainen;=;norja;;;;;;
lobed;liuskainen;=;englanti;;;;;;
dissected;liuskainen;=;englanti;;;;;;
flikig;liuskainen;=;ruotsi;;;;;;
loberad;liuskainen;=;ruotsi;;;;;;
lusikkamainen;lusikkamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
lastamainen;lusikkamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
spónlaga;lusikkamainen;=;islanti;;;;;;
spaðalaga;lusikkamainen;=;islanti;;;;;;
spónvaksin;lusikkamainen;=;fääri;;;;;;
spakavaksin;lusikkamainen;=;fääri;;;;;;
skeformet;lusikkamainen;=;tanska;;;;;;
spatelformet;lusikkamainen;=;tanska;;;;;;
skjeformet;lusikkamainen;=;norja;;;;;;
spadeformet;lusikkamainen;=;norja;;;;;;
spatelformet;lusikkamainen;=;norja;;;;;;
lapiomainen;lusikkamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
cochleariform;lusikkamainen;=;englanti;;;;;;
spathulate;lusikkamainen;=;englanti;;;;;;
skedformad;lusikkamainen;=;ruotsi;;;;;;
spatellik;lusikkamainen;=;ruotsi;;;;;;
skedlik;lusikkamainen;=;ruotsi;;;;;;
spatelformig;lusikkamainen;=;ruotsi;;;;;;
lyhytsuippuinen;lyhytsuippuinen;;suomi;adjektiivi;yhdyssana;;-inen;;
tylppänipukkainen;lyhytsuippuinen;;suomi;adjektiivi;yhdyssana;;-inen;;
broddyddur;lyhytsuippuinen;=;islanti;;;;;;
oddspískur;lyhytsuippuinen;=;fääri;;;;;;
brodspidset;lyhytsuippuinen;=;tanska;;;;;;
kort tilspidset;lyhytsuippuinen;=;tanska;;;;;;
broddspiss;lyhytsuippuinen;=;norja;;;;;;
abruptly tapering;lyhytsuippuinen;=;englanti;;;;;;
apiculate;lyhytsuippuinen;=;englanti;;;;;;
tvärt avsmalnande;lyhytsuippuinen;=;ruotsi;;;;;;
uddspetsig;lyhytsuippuinen;=;ruotsi;;;;;;
mehikasvi;mehikasvi;;suomi;substantiivi;yhdyssana;;;;
mehukasvi;mehikasvi;;suomi;substantiivi;yhdyssana;;;vanhentunut;
sukkulentti;mehikasvi;;suomi;substantiivi;yhdistämätön;;;;
succulent;mehikasvi;=;englanti;;;;;;
suckulent;mehikasvi;=;ruotsi;;;;;;
miekkamainen;miekkamainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
sverðlaga;miekkamainen;=;islanti;;;;;;
svørðvaksin;miekkamainen;=;fääri;;;;;;
sværdformet;miekkamainen;=;tanska;;;;;;
sverdformet;miekkamainen;=;norja;;;;;;
ensiform;miekkamainen;=;englanti;;;;;;
svärdlik;miekkamainen;=;ruotsi;;;;;;
munuaismainen;munuaismainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
munuamainen;munuaismainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;vanhentunut;
nýrlaga;munuaismainen;=;islanti;;;;;;
nýravaksin;munuaismainen;=;fääri;;;;;;
nyreformet;munuaismainen;=;tanska;;;;;;
nyreformet;munuaismainen;=;norja;;;;;;
reniform;munuaismainen;=;englanti;;;;;;
njurlik;munuaismainen;=;ruotsi;;;;;;
kukka;kukka;;suomi;substantiivi;yhdistämätön;;;;
1 blóm;kukka;=;islanti;;;;;;
2 smávaxið blóm;kukka;=;islanti;;;;;;
smáblóm;kukka;=;islanti;;;;;;
blóma;kukka;=;fääri;;;;;;
blomst;kukka;=;tanska;;;;;;
1 blomst;kukka;=;norja;;;;;;
2 floret;kukka;=;norja;;;;;;
flower;kukka;=;englanti;;;;;;
floret;kukka;>;englanti;;;;;;
blomma;kukka;=;ruotsi;;;;;;
möyheä;möyheä;;suomi;adjektiivi;yhdistämätön;;-eA;;
þykkur og safamikill;möyheä;=;islanti;;;;;;
kjötkenndur;möyheä;=;islanti;;;;;;
kjøtigur;möyheä;=;fääri;;;;;;
kjøtmikil;möyheä;=;fääri;;;;;;
sevjumikil;möyheä;=;fääri;;;;;;
holdmikil;möyheä;=;fääri;;;;;;
sukkulent;möyheä;=;tanska;;;;;;
kødet;möyheä;=;tanska;;;;;;
sukkulent;möyheä;=;norja;;;;;;
kjøttfull;möyheä;=;norja;;;;;;
fleshy;möyheä;=;englanti;;;;;;
succulent;möyheä;=;englanti;;;;;;
carnose;möyheä;=;englanti;;;;;;
köttig;möyheä;=;ruotsi;;;;;;
fet;möyheä;=;ruotsi;;;;;;
saftig;möyheä;=;ruotsi;;;;;;
neulanen;neulanen;;suomi;substantiivi;yhdistämätön;;-nen;;
neulasmainen;neulasmainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
neulamainen;neulasmainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
nállaga;neulasmainen;=;islanti;;;;;;
nálarskapaður;neulasmainen;=;fääri;;;;;;
nåleformet;neulasmainen;=;tanska;;;;;;
nålformet;neulasmainen;=;norja;;;;;;
acicular;neulasmainen;=;englanti;;;;;;
barrlik;neulasmainen;=;ruotsi;;;;;;
nålformad;neulasmainen;=;ruotsi;;;;;;
nållik;neulasmainen;=;ruotsi;;;;;;
nirhalaitainen;nirhalaitainen;;suomi;adjektiivi;yhdyssana;;-inen;;
nirhainen;nirhalaitainen;;suomi;adjektiivi;yhdistämätön;;-inen;;
dentate;nirhalaitainen;=;englanti;;;;;;
tandad;nirhalaitainen;=;ruotsi;;;;;;
nivel;nivel;;suomi;substantiivi;yhdistämätön;2-tavuinen l-loppuinen;;;
nodi;nivel;;suomi;substantiivi;yhdistämätön;;;;
liýur;nivel;=;islanti;;;;;;
hné;nivel;=;islanti;;;;;;
blaðstæði;nivel;=;islanti;;;;;;
liður;nivel;=;fääri;;;;;;
led;nivel;=;tanska;;;;;;
ledd;nivel;=;norja;;;;;;
node;nivel;=;englanti;;;;;;
led;nivel;=;ruotsi;;;;;;
nod;nivel;=;ruotsi;;;;;;
norkkosuomu;norkkosuomu;;suomi;substantiivi;yhdyssana;;;;
nuolityvinen;nuolityvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
nuolimainen;nuolityvinen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
örlaga;nuolityvinen;=;islanti;;;;;;
ørvvaksin;nuolityvinen;=;fääri;;;;;;
pilformet;nuolityvinen;=;tanska;;;;;;
pilformet;nuolityvinen;=;norja;;;;;;
sagittate;nuolityvinen;=;englanti;;;;;;
pillik;nuolityvinen;=;ruotsi;;;;;;
nyhälaitainen;nyhälaitainen;;suomi;adjektiivi;yhdyssana;;-inen;;
nyhäinen;nyhälaitainen;;suomi;adjektiivi;yhdistämätön;;;;
bogtenntur;nyhälaitainen;=;islanti;;;;;;
rundtentur;nyhälaitainen;=;fääri;;;;;;
rundtakket;nyhälaitainen;=;tanska;;;;;;
rundtannet;nyhälaitainen;=;norja;;;;;;
crenate;nyhälaitainen;=;englanti;;;;;;
naggad;nyhälaitainen;=;ruotsi;;;;;;
ora;ora;;suomi;substantiivi;yhdistämätön;2-tavuinen A-loppuinen;;;
þyrnir;ora;=;islanti;;;;;;
tornur;ora;=;fääri;;;;;;
torn;ora;=;tanska;;;;;;
grentorn;ora;=;tanska;;;;;;
torn;ora;=;norja;;;;;;
thorn;ora;=;englanti;;;;;;
torn;ora;=;ruotsi;;;;;;
stamtorn;ora;=;ruotsi;;;;;;
tagg;ora;=;ruotsi;;;;;;
oralehti;oralehti;;suomi;substantiivi;yhdyssana;;;;
spine;oralehti;=;englanti;;;;;;
spike leaf;oralehti;=;englanti;;;;;;
bladtorn;oralehti;=;ruotsi;;;;;;
oraoksa;oraoksa;;suomi;substantiivi;yhdyssana;;;;
thorn;oraoksa;=;englanti;;;;;;
torngren;oraoksa;=;ruotsi;;;;;;
grentorn;oraoksa;=;ruotsi;;;;;;
parihalkoinen;parihalkoinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fjaýurskertur;parihalkoinen;=;islanti;;;;;;
fjaÙurflipputur;parihalkoinen;=;fääri;;;;;;
fjerfliget;parihalkoinen;=;tanska;;;;;;
fjærfliket;parihalkoinen;=;norja;;;;;;
pinnatifid;parihalkoinen;=;englanti;;;;;;
parflikig;parihalkoinen;=;ruotsi;;;;;;
parflikig (grunt);parihalkoinen;=;ruotsi;;;;;;
parkluven;parihalkoinen;=;ruotsi;;;;;;
parijakoinen;parijakoinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fjaðurskertur;parijakoinen;=;islanti;;;;;;
fjaðurskerdur;parijakoinen;=;fääri;;;;;;
fjerfliget;parijakoinen;=;tanska;;;;;;
fjærfliket;parijakoinen;=;norja;;;;;;
pinnatifid;parijakoinen;=;englanti;;;;;;
parflikig (djupt);parijakoinen;=;ruotsi;;;;;;
parilehdykkäinen;parilehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
pinnate;parilehdykkäinen;=;englanti;;;;;;
parbladig;parilehdykkäinen;=;ruotsi;;;;;;
pariliuskainen;pariliuskainen;;suomi;adjektiivi;yhdyssana;;-inen;;
pinnately lobed;pariliuskainen;=;englanti;;;;;;
parflikig;pariliuskainen;=;ruotsi;;;;;;
pariosainen;pariosainen;;suomi;adjektiivi;yhdyssana;;-inen;;
hálffjaýraýur;pariosainen;=;islanti;;;;;;
fjaðurskiptur;pariosainen;=;islanti;;;;;;
fjaðurdeildur;pariosainen;=;fääri;;;;;;
fjersnitdelt;pariosainen;=;tanska;;;;;;
fjædelt;pariosainen;=;norja;;;;;;
pinnatisect;pariosainen;=;englanti;;;;;;
parflikig med fria basflikar;pariosainen;=;ruotsi;;;;;;
parflikig (mycket djupt);pariosainen;=;ruotsi;;;;;;
djupt parflikig;pariosainen;=;ruotsi;;;;;;
pieninyhäinen;pieninyhäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
smábogtenntur;pieninyhäinen;=;islanti;;;;;;
smárundtentur;pieninyhäinen;=;fääri;;;;;;
fint rundtakket;pieninyhäinen;=;tanska;;;;;;
fint rundtannet;pieninyhäinen;=;norja;;;;;;
crenulate;pieninyhäinen;=;englanti;;;;;;
fint naggad;pieninyhäinen;=;ruotsi;;;;;;
piikkikärkinen;piikkikärkinen;;suomi;adjektiivi;yhdyssana;;-inen;;
pistävä;piikkikärkinen;;suomi;adjektiivi;yhdistämätön;;-vA;;
oddhvass;piikkikärkinen;=;islanti;;;;;;
oddhvassur;piikkikärkinen;=;fääri;;;;;;
stikkende;piikkikärkinen;=;tanska;;;;;;
stikkende;piikkikärkinen;=;norja;;;;;;
pungent;piikkikärkinen;=;englanti;;;;;;
stingande;piikkikärkinen;=;ruotsi;;;;;;
stickande;piikkikärkinen;=;ruotsi;;;;;;
pitkulainen;pitkulainen;;suomi;adjektiivi;yhdistämätön;;-lAinen;;
pitkänomainen;pitkulainen;;suomi;adjektiivi;yhdyssana;;-inen;;
ílangur;pitkulainen;=;islanti;;;;;;
longdur;pitkulainen;=;fääri;;;;;;
forlænget;pitkulainen;=;tanska;;;;;;
utdratt;pitkulainen;=;norja;;;;;;
oblong;pitkulainen;=;englanti;;;;;;
elongate;pitkulainen;=;englanti;;;;;;
elongated;pitkulainen;=;englanti;;;;;;
utdragen;pitkulainen;=;ruotsi;;;;;;
förlängd;pitkulainen;=;ruotsi;;;;;;
pitkänpyöreä;pitkänpyöreä;;suomi;adjektiivi;yhdyssana;;-eA;;
aflangur;pitkänpyöreä;=;islanti;;;;;;
avlangur;pitkänpyöreä;=;fääri;;;;;;
aflang;pitkänpyöreä;=;tanska;;;;;;
avlang;pitkänpyöreä;=;norja;;;;;;
oblong;pitkänpyöreä;=;englanti;;;;;;
oval;pitkänpyöreä;=;englanti;;;;;;
brett avlång;pitkänpyöreä;=;ruotsi;;;;;;
oval;pitkänpyöreä;=;ruotsi;;;;;;
pitkäsuippuinen;pitkäsuippuinen;;suomi;adjektiivi;yhdyssana;;-inen;;
terävänipukkainen;pitkäsuippuinen;;suomi;adjektiivi;yhdyssana;;-inen;;
langyddur;pitkäsuippuinen;=;islanti;;;;;;
oddspískur;pitkäsuippuinen;=;fääri;;;;;;
tilspidset;pitkäsuippuinen;=;tanska;;;;;;
tilspisset;pitkäsuippuinen;=;norja;;;;;;
acuminate;pitkäsuippuinen;=;englanti;;;;;;
tillspetsad;pitkäsuippuinen;=;ruotsi;;;;;;
puikea;puikea;;suomi;adjektiivi;yhdistämätön;;-eA;;
egglaga;puikea;=;islanti;;;;;;
eggvaksin;puikea;=;fääri;;;;;;
ægformet;puikea;=;tanska;;;;;;
eggformet;puikea;=;norja;;;;;;
eggrund;puikea;=;norja;;;;;;
ovate;puikea;=;englanti;;;;;;
äggrund;puikea;=;ruotsi;;;;;;
pullakko;pullakko;;suomi;substantiivi;yhdistämätön;;-kkO;;
hulstur;pullakko;=;islanti;;;;;;
frukthylki;pullakko;=;fääri;;;;;;
frugthylster;pullakko;=;tanska;;;;;;
fruktgjemme;pullakko;=;norja;;;;;;
utriculus;pullakko;=;norja;;;;;;
utricle;pullakko;=;englanti;;;;;;
perigynium;pullakko;=;englanti;;;;;;
fruktgömme;pullakko;=;ruotsi;;;;;;
purje;purje;;suomi;substantiivi;yhdistämätön;2-tavuinen e-loppuinen;;;
fáni;purje;=;islanti;;;;;;
fáni;purje;=;fääri;;;;;;
fane;purje;=;tanska;;;;;;
fane;purje;=;norja;;;;;;
standard;purje;=;englanti;;;;;;
vexillum;purje;=;englanti;;;;;;
segel;purje;=;ruotsi;;;;;;
pussimainen;pussimainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
säkkimäinen;pussimainen;;suomi;adjektiivi;yhdistämätön;;-mAinen;;
sekklaga;pussimainen;=;islanti;;;;;;
sekkjarvaksin;pussimainen;=;fääri;;;;;;
sækformet;pussimainen;=;tanska;;;;;;
sekkformet;pussimainen;=;norja;;;;;;
saccate;pussimainen;=;englanti;;;;;;
säcklik;pussimainen;=;ruotsi;;;;;;
pyyntirakkula;pyyntirakkula;;suomi;substantiivi;yhdyssana;;;;
trapbladder;pyyntirakkula;=;englanti;;;;;;
bladder;pyyntirakkula;=;englanti;;;;;;
fångstblåsa;pyyntirakkula;=;ruotsi;;;;;;
pyöreä;pyöreä;;suomi;adjektiivi;yhdistämätön;;-eA;;
kringlóttur;pyöreä;=;islanti;;;;;;
rundur;pyöreä;=;fääri;;;;;;
cirkelrund;pyöreä;=;tanska;;;;;;
sirkelrund;pyöreä;=;norja;;;;;;
orbicular;pyöreä;=;englanti;;;;;;
cirkelrund;pyöreä;=;ruotsi;;;;;;
rund;pyöreä;=;ruotsi;;;;;;
pyöreähkö;pyöreähkö;;suomi;adjektiivi;yhdistämätön;;-hkO;;
roundish;pyöreähkö;=;englanti;;;;;;
rundad;pyöreähkö;=;ruotsi;;;;;;
päätölehdykkä;päätölehdykkä;;suomi;substantiivi;yhdyssana;;;;
päätöliuska;päätöliuska;;suomi;substantiivi;yhdyssana;;;;
päätöparinen;päätöparinen;;suomi;adjektiivi;yhdyssana;;-inen;;
päätölehdykkäinen;päätöparinen;;suomi;adjektiivi;yhdyssana;;-inen;;
stakfjaðraður;päätöparinen;=;islanti;;;;;;
stakfinnutur;päätöparinen;=;fääri;;;;;;
uligefinnet;päätöparinen;=;tanska;;;;;;
ulikefinnet;päätöparinen;=;norja;;;;;;
imparipinnate;päätöparinen;=;englanti;;;;;;
parbladig med uddblad;päätöparinen;=;ruotsi;;;;;;
med uddblad;päätöparinen;=;ruotsi;;;;;;
ripsireunainen;ripsireunainen;;suomi;adjektiivi;yhdyssana;;-inen;;
randhærður;ripsireunainen;=;islanti;;;;;;
randhærdur;ripsireunainen;=;fääri;;;;;;
ciliat;ripsireunainen;=;tanska;;;;;;
randhåret;ripsireunainen;=;tanska;;;;;;
kanthåret;ripsireunainen;=;norja;;;;;;
ciliate;ripsireunainen;=;englanti;;;;;;
cilierad;ripsireunainen;=;ruotsi;;;;;;
ripsisahainen;ripsisahainen;;suomi;adjektiivi;yhdyssana;;-inen;;
serrate-ciliate;ripsisahainen;=;englanti;;;;;;
ristikkäinen;ristikkäinen;;suomi;adjektiivi;yhdistämätön;;-kkAinen;;
ristikkäin vastakkaiset;ristikkäinen;;suomi;adjektiivi;sanaliitto;;-kkAinen;;
krossgagnstæður;ristikkäinen;=;islanti;;;;;;
krossvíst andstaddur;ristikkäinen;=;fääri;;;;;;
parvist/korsvist modsatte;ristikkäinen;=;tanska;;;;;;
korsvis motsatt;ristikkäinen;=;norja;;;;;;
decussate;ristikkäinen;=;englanti;;;;;;
korsvis motsatta blad;ristikkäinen;=;ruotsi;;;;;;
korsvis motsatta;ristikkäinen;=;ruotsi;;;;;;
ruusuke;ruusuke;;suomi;substantiivi;yhdistämätön;;-ke;;
lehtiruusuke;ruusuke;;suomi;substantiivi;yhdyssana;;;;
blaðhvirfing;ruusuke;=;islanti;;;;;;
stovnhviril;ruusuke;=;fääri;;;;;;
roset;ruusuke;=;tanska;;;;;;
rosett;ruusuke;=;norja;;;;;;
rosette;ruusuke;=;englanti;;;;;;
rosett;ruusuke;=;ruotsi;;;;;;
bladrosett;ruusuke;=;ruotsi;;;;;;
ruusukkeinen;ruusukkeinen;;suomi;adjektiivi;yhdyssana;;-inen;;
rosetted;ruusukkeinen;=;englanti;;;;;;
i rosett;ruusukkeinen;=;ruotsi;;;;;;
sahalaitainen;sahalaitainen;;suomi;adjektiivi;yhdyssana;;-inen;;
sahainen;sahalaitainen;;suomi;adjektiivi;yhdistämätön;;-inen;;
sagtenntur;sahalaitainen;=;islanti;;;;;;
sagtentur;sahalaitainen;=;fääri;;;;;;
savtakket;sahalaitainen;=;tanska;;;;;;
sagtannet;sahalaitainen;=;norja;;;;;;
serrate;sahalaitainen;=;englanti;;;;;;
sågad;sahalaitainen;=;ruotsi;;;;;;
sågad bladkant;sahalaitainen;=;ruotsi;;;;;;
sepivä;sepivä;;suomi;adjektiivi;yhdistämätön;;-vA;;
lykur um;sepivä;=;islanti;;;;;;
greipfættur;sepivä;=;islanti;;;;;;
með slíðri;sepivä;=;islanti;;;;;;
slíðraður;sepivä;=;islanti;;;;;;
groyptur;sepivä;=;fääri;;;;;;
við slíðra;sepivä;=;fääri;;;;;;
slíðraður;sepivä;=;fääri;;;;;;
omsluttende;sepivä;=;tanska;;;;;;
stængelomfattende;sepivä;=;tanska;;;;;;
omsluttende;sepivä;=;norja;;;;;;
stengelomfattende;sepivä;=;norja;;;;;;
clasping;sepivä;=;englanti;;;;;;
amplexicaul;sepivä;=;englanti;;;;;;
perfoliate;sepivä;=;englanti;;;;;;
stem-clasping;sepivä;=;englanti;;;;;;
omslutande;sepivä;=;ruotsi;;;;;;
stjälkomfattande;sepivä;=;ruotsi;;;;;;
stjälkomväxande;sepivä;=;ruotsi;;;;;;
aaltopoimuinen;aaltopoimuinen;;suomi;adjektiivi;yhdyssana;;-inen;;
aaltoileva;aaltopoimuinen;;suomi;adjektiivi;yhdistämätön;;-vA;;
bylgjóttur;aaltopoimuinen;=;islanti;;;;;;
bylgjutur;aaltopoimuinen;=;fääri;;;;;;
bølget;aaltopoimuinen;=;tanska;;;;;;
bølget;aaltopoimuinen;=;norja;;;;;;
undulate;aaltopoimuinen;=;englanti;;;;;;
undulerad;aaltopoimuinen;=;ruotsi;;;;;;
vågig;aaltopoimuinen;=;ruotsi;;;;;;
silmu;silmu;;suomi;substantiivi;yhdistämätön;2-tavuinen U-loppuinen;;;
brum;silmu;=;islanti;;;;;;
knappur;silmu;=;islanti;;;;;;
knappur;silmu;=;fääri;;;;;;
knubbi;silmu;=;fääri;;;;;;
knop;silmu;=;tanska;;;;;;
knopp;silmu;=;norja;;;;;;
bud;silmu;=;englanti;;;;;;
knopp;silmu;=;ruotsi;;;;;;
silmusuomu;silmusuomu;;suomi;substantiivi;yhdyssana;;;;
brumhlífar;silmusuomu;=;islanti;;;;;;
knappaflus;silmusuomu;=;fääri;;;;;;
knopskæl;silmusuomu;=;tanska;;;;;;
knoppskjell;silmusuomu;=;norja;;;;;;
bud scale;silmusuomu;=;englanti;;;;;;
knoppfjäll;silmusuomu;=;ruotsi;;;;;;
silposuoninen;silposuoninen;;suomi;adjektiivi;yhdyssana;;-inen;;
beinstrengjótt;silposuoninen;=;islanti;;;;;;
bogstrengjótt;silposuoninen;=;islanti;;;;;;
beinæðrað;silposuoninen;=;fääri;;;;;;
boginæðrað;silposuoninen;=;fääri;;;;;;
ligestrenget;silposuoninen;=;tanska;;;;;;
buestrenget;silposuoninen;=;tanska;;;;;;
linjenerva;silposuoninen;=;norja;;;;;;
bogenerva;silposuoninen;=;norja;;;;;;
parallel venation;silposuoninen;=;englanti;;;;;;
parallel-veined;silposuoninen;=;englanti;;;;;;
parallellnervig;silposuoninen;=;ruotsi;;;;;;
enkelnervig;silposuoninen;=;ruotsi;;;;;;
sisähelve;sisähelve;;suomi;substantiivi;yhdyssana;;;;
innri blómögn;sisähelve;=;islanti;;;;;;
ovara blómuøgn;sisähelve;=;fääri;;;;;;
øvre inderavne;sisähelve;=;tanska;;;;;;
forblad;sisähelve;=;tanska;;;;;;
forblad;sisähelve;=;norja;;;;;;
palea;sisähelve;=;englanti;;;;;;
inneragn;sisähelve;=;ruotsi;;;;;;
innerblomfjäll;sisähelve;=;ruotsi;;;;;;
soikea;soikea;;suomi;adjektiivi;yhdistämätön;;-eA;;
sporlaga;soikea;=;islanti;;;;;;
sporbaugóttur;soikea;=;islanti;;;;;;
eggklingrutur;soikea;=;fääri;;;;;;
oddklingrutur;soikea;=;fääri;;;;;;
eggvaksin;soikea;=;fääri;;;;;;
elliptisk;soikea;=;tanska;;;;;;
elliptisk;soikea;=;norja;;;;;;
elliptic;soikea;=;englanti;;;;;;
elliptisk;soikea;=;ruotsi;;;;;;
oval;soikea;=;ruotsi;;;;;;
sormilehdykkäinen;sormilehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fingraður;sormilehdykkäinen;=;islanti;;;;;;
fingrutur;sormilehdykkäinen;=;fääri;;;;;;
fingret;sormilehdykkäinen;=;tanska;;;;;;
koplet;sormilehdykkäinen;=;norja;;;;;;
palmate;sormilehdykkäinen;=;englanti;;;;;;
digitate;sormilehdykkäinen;=;englanti;;;;;;
fingrad;sormilehdykkäinen;=;ruotsi;;;;;;
sormiliuskainen;sormiliuskainen;;suomi;adjektiivi;yhdyssana;;-inen;;
handflipóttur;sormiliuskainen;=;islanti;;;;;;
handflipputur;sormiliuskainen;=;fääri;;;;;;
håndfliget;sormiliuskainen;=;tanska;;;;;;
håndlappet;sormiliuskainen;=;tanska;;;;;;
handfliket;sormiliuskainen;=;norja;;;;;;
palmate;sormiliuskainen;=;englanti;;;;;;
palmately-lobed;sormiliuskainen;=;englanti;;;;;;
handflikig;sormiliuskainen;=;ruotsi;;;;;;
suikea;suikea;;suomi;adjektiivi;yhdistämätön;;-eA;;
lensulaga;suikea;=;islanti;;;;;;
váknvaksin;suikea;=;fääri;;;;;;
lancetformet;suikea;=;tanska;;;;;;
lansettformet;suikea;=;norja;;;;;;
narrowly elliptic;suikea;=;englanti;;;;;;
lanceolate;suikea;=;englanti;;;;;;
smalt elliptisk;suikea;=;ruotsi;;;;;;
lancettlik;suikea;=;ruotsi;;;;;;
sulkasuoninen;sulkasuoninen;;suomi;adjektiivi;yhdyssana;;-inen;;
fjaðurstrengjóttur;sulkasuoninen;=;islanti;;;;;;
fjaðuræðrað;sulkasuoninen;=;fääri;;;;;;
fjerstrenget;sulkasuoninen;=;tanska;;;;;;
fjernervet;sulkasuoninen;=;tanska;;;;;;
fjørnerva;sulkasuoninen;=;norja;;;;;;
pinnate venation;sulkasuoninen;=;englanti;;;;;;
pinnately veined;sulkasuoninen;=;englanti;;;;;;
fjädernervig;sulkasuoninen;=;ruotsi;;;;;;
suojuslehti;suojuslehti;;suomi;substantiivi;yhdyssana;;;;
stoðblað; stórreifar (Apiaceae); heirsturblaðka (Pinaceae);suojuslehti;=;islanti;;;;;;
studningsblað; stórreivblað (Apiaceae);suojuslehti;=;fääri;;;;;;
støtteblad; storsvøb (Apiaceae); dækskæl (Pinaceae);suojuslehti;=;tanska;;;;;;
støtteblad; storsvøpblad (Apiaceae);suojuslehti;=;norja;;;;;;
dekkskjell (Pinaceae);suojuslehti;=;norja;;;;;;
bract;suojuslehti;=;englanti;;;;;;
stödblad;suojuslehti;=;ruotsi;;;;;;
svepeblad (i allmänt svepe; Apiaceae); täckfjäll (Pinaceae);suojuslehti;=;ruotsi;;;;;;
suojussuomu;suojussuomu;;suomi;substantiivi;yhdyssana;;;;
bract;suojussuomu;=;englanti;;;;;;
stödblad (litet);suojussuomu;=;ruotsi;;;;;;
