termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
frie;erillinen;=;norja;;;;;;
free;erillinen;=;englanti;;;;;;
fria;erillinen;=;ruotsi;;;;;;
erillislehtinen;erillislehtinen;;suomi;adjektiivi;yhdyssana;;-inen;;
fribladig;erillislehtinen;=;ruotsi;;;;;;
helve;helve;;suomi;substantiivi;yhdistämätön;2-tavuinen e-loppuinen;;;
lodicule;helve;=;englanti;;;;;;
herttatyvinen;herttatyvinen;;suomi;adjektiivi;yhdyssana;;-inen;;
huuli;huuli;;suomi;substantiivi;yhdistämätön;2-tavuinen i-loppuinen;;;
vör;huuli;=;islanti;;;;;;
vørr;huuli;=;fääri;;;;;;
læbe;huuli;=;tanska;;;;;;
leppe;huuli;=;norja;;;;;;
labellum;huuli;=;englanti;;;;;;
lip;huuli;=;englanti;;;;;;
läpp;huuli;=;ruotsi;;;;;;
ilmalehti;ilmalehti;;suomi;substantiivi;yhdyssana;;;;
luftblad;ilmalehti;=;ruotsi;;;;;;
jakoinen;jakoinen;;suomi;adjektiivi;yhdistämätön;;-inen;;
skiptur;jakoinen;=;islanti;;;;;;
deildur;jakoinen;=;fääri;;;;;;
delt;jakoinen;=;tanska;;;;;;
delt;jakoinen;=;norja;;;;;;
partite;jakoinen;=;englanti;;;;;;
delad;jakoinen;=;ruotsi;;;;;;
johteinen;johteinen;;suomi;adjektiivi;yhdistämätön;;-inen;;
niðurteygður;johteinen;=;islanti;;;;;;
niðurrendur;johteinen;=;fääri;;;;;;
nedløbende;johteinen;=;tanska;;;;;;
nedløpende;johteinen;=;norja;;;;;;
decurrent;johteinen;=;englanti;;;;;;
nedlöpande;johteinen;=;ruotsi;;;;;;
kaksilehdykkäinen;kaksilehdykkäinen;;suomi;adjektiivi;yhdyssana;;-inen;;
bifoliolate;kaksilehdykkäinen;=;englanti;;;;;;
kaksiosainen;kaksiosainen;;suomi;adjektiivi;yhdyssana;;-inen;;
klofinn;kaksiosainen;=;islanti;;;;;;
tvískiptur;kaksiosainen;=;islanti;;;;;;
klovin;kaksiosainen;=;fääri;;;;;;
kløvet;kaksiosainen;=;tanska;;;;;;
tvedelt;kaksiosainen;=;tanska;;;;;;
todelt;kaksiosainen;=;norja;;;;;;
bifid;kaksiosainen;=;englanti;;;;;;
bipartite;kaksiosainen;=;englanti;;;;;;
tvekluven;kaksiosainen;=;ruotsi;;;;;;
tvådelad;kaksiosainen;=;ruotsi;;;;;;
kale;kale;;suomi;substantiivi;yhdistämätön;2-tavuinen e-loppuinen;;;
axögn;kale;=;islanti;;;;;;
aksøgn;kale;=;fääri;;;;;;
yderavner;kale;=;tanska;;;;;;
yderavn;kale;=;tanska;;;;;;
ytteragne;kale;=;norja;;;;;;
glume;kale;=;englanti;;;;;;
lemma;kale;=;englanti;;;;;;
skärmfjäll;kale;=;ruotsi;;;;;;
 tomfjäll;kale;=;ruotsi;;;;;;
kapean vastapuikea;kapean vastapuikea;;suomi;adjektiivi;sanaliitto;;-eA;;
öfuglensulaga;kapean vastapuikea;=;islanti;;;;;;
øvut váknvaksin;kapean vastapuikea;=;fääri;;;;;;
omvendt lancetformet;kapean vastapuikea;=;tanska;;;;;;
