käsite%käsitesuhde%lähikäsite
abduktiivinen päättely%%analogia
absoluuttinen muoto%%sandhimuoto
affektiivinen merkitys%%sivumerkitys
akkumulaatio%%merkityslaina
alloseemi%%semeemi
amelioraatio%%pejoratiivistuminen
amelioraatio%%deminutiivi
analyyttinen lause%%synteettinen lause
antonymia%%synonymia
antonymia%%hyponymia
antonymia%%meronymia
antonymia%%attribuutio
antonymia%%komplementaarius
ateelinen%%teelinen
attribuutio%%synonymia
attribuutio%%hyponymia
attribuutio%%meronymia
attribuutio%%antonymia
autonominen moneemi%%moneemi
autosemanttinen virke%%synsemanttinen
denotaatio%%konnotaatio
denotaatio%%semeemi
denotaatio%%perusmerkitys
denotaatio%%intensio1
denotaatio%%intensio2
desideratiivi%%modus
designaattori%%formaattori
deskriptiivinen ilmaus%%onomatopoieettinen ilmaus
diagrammaattisuus%%ikonisuus
dysfemismi%%eufemismi
ekspansiokeskus%%attraktiokeskus
ekstensio%%intensio1
ekstensio%%intensio2
ekstensio%%intensio3
elollisuus%%elottomuus
eufemismi%%tabu
eufemismi%%dysfemismi
feminiininen%%maskuliininen
fiktiivistarkoitteinen sana%%intensionaalinen objekti
funktionaali semantiikka%%funktionaalinen lauseoppi
funktionaali semantiikka%%funktionaali syntaksi
genotyyppi%%fenotyyppi
holonyymi%%meronyymi
homofonia%%homonymia
homofonia%%homografia
homofonia%%paronymia
homonymia%%homografia
homonymia%%homofonia
homonymia%%homonyymi
homonyymi%%homonymia
homonyymi%%synonyymi
hyponymia%%synonymia
hyponymia%% meronymia
hyponymia%%antonymia
hyponymia%%attribuutio
hyponymia%%hierarkkinen järjestys
ikoni%%indeksi
ikoni%%symboli
ikoni%%ikonisuus
ikoni%%ikoninen
ikonisuus%%ikoni
indeksi%%ikoni
indeksi%%symboli
indeksi%%indeksaalisuus
intensio%%ekstensio
irrealis%%realis
iteratiivinen (aspekti)%%kontinuatiivi
kansanetymologia%%etymologia
kognitiivinen merkitys%%denotaatio
kognitiivinen merkitys%%konnotaatio
komplementaarinen vastakohta%%antonymia
komponenttianalyysi%%distinktiivinen piirre
komponenttianalyysi%%plereemi
konnotaatio%%denotaatio
konnotaatio%%sivumerkitys
kulttuurikonteksti%%konteksti
kvantifiointi%%(materiaalinen) implikaatio
kvanttori%%kvantifiointi
käänteisyys%%komplementaarius
käänteisyys%%antonymia
lausesemantiikka%%semantiikka
lausesemantiikka%%sanasemantiikka
lausesemantiikka%%predikaatioanalyysi
leksikaalinen merkitys%%perusmerkitys
leksikaalinen merkitys%%sivumerkitys
lingvistinen filosofia%%kielifilosofia
looginen semantiikka%%semantiikka
maskuliininen%%feminiininen
merkitsijä%%merkitty
merkitty%%merkitsijä
merkitys%%muoto
merkitysjärjestelmä%%äännejärjestelmä
merkityskomponentti%%merkityspostulaati
merkityspostulaatti%%merkityskomponentti
merkitystaso%%äännetaso
merkitystaso%%kaksoisjäsennys
merkitystaso%%kaksinkertainen hierarkkinen järjestelmä
meronymia%%synonymia
meronymia%%hyponymia
meronymia%%antonymia
meronymia%%attribuutio
meronyymi%%holonyymi
metafora%%metaforisuus
metaforisuus%%metafora
metanalyysi%%kansanetymologia
monikko%%yksikkö
monikko%%numerus
muotosana%%viittaussanat
muotosana%%sanaluokat
muotosana%%morfeemien Iuokittelu
muotosana%%formatiivi
muotosana%%moneemi
nimityssanat%%muotosanat
nimityssanat%%viittaussanat
noeemi%%komponenttianalyysi
okkasionaalinen merkitys%%usuaalinen merkitys
parafraasi%%synonyymi
parafraasi%%eufemismi
parafraasi%%homonyymiset rakenteet
pejoratiivinen%%amelioratiivinen
pejoratiivistuminen%%amelioraatio
perusmerkitys%%denotaatio
plereemi%%komponenttianalyysi
plereemi%%keneemi
pluralia tantum%%singularia tantum
predikaattikalkyyli%%kvantifiointi
propositionaalinen kalkyyli%%loogiset vakiot
propositionaalinen kalkyyli%%konjunktio
propositionaalinen kalkyyli%%disjunktio
rakenteellinen monitulkintaisuus%%homonyymiset rakenteet
rakenteellinen monitulkintaisuus%%homonymia
realis%%irrealis
redundantti piirre%%redundanssi
relationaalisuus%%pysyvyys
sanasemantiikka%%semantiikka
sanasemantiikka%%lausesemantiikka
semeemi%%formatiivi
semiotiikka%%informaatioteoria
singularia tantum%%pluralia tantum
sivumerkitys%%konnotaatio
sivumerkitys%%affektiivinen merkitys
sivumerkitys%%tyyliarvo
sumea%%prototyyppisyys
symboli%%ikoni
symboli%%indeksi
synonyymi%%parafraasi
synonyymi%%homonyymi
synteettinen lause%%analyyttinen lause
totuusarvo%%totuusehdot
totuusehto%%totuusarvo
vastakohtaisuus%%synonymia
viitata%%viittaus
viittaus%%predikaatio
viittaus%%modifikaatio
viittaus%%viitata
